社区ID,社区中心点,社区坐标点1,社区坐标点2,社区坐标点3,社区坐标点4,社区坐标点5,社区坐标点6,社区坐标点7,社区坐标点8,社区坐标点9,社区坐标点10,社区看护人,网络看护人,社区名称,类型,人口,户数,楼栋数,地址,标签名称,工作日-昼,工作日-夜,休息日-昼,休息日-夜
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,98元不限量套餐,222,124,223,224
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,98元不限量套餐,12,125,224,225
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,98元不限量套餐,645,126,225,226
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,98元不限量套餐,126,127,226,227
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,98元不限量套餐,127,128,227,228
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,98元不限量套餐,312,129,228,229
sq7,"125.40195577761733,43.851679413770945","125.40195577761733,43.851679413770945","125.41946523806655,43.84400386945093","125.40676229617202,43.828897495082735","125.39131277224624,43.83533674523358","125.38478963992202,43.85143183098383","125.40195577761733,43.851679413770945",,,,,胡一刀,哈哈哈,丈八沟街道办,街道,31231,213,7,锦业路7号,98元不限量套餐,129,130,229,230
sq8,"125.3763964736338,43.890093040519254","125.3763964736338,43.890093040519254","125.388498600709,43.88223685010792","125.37691145776466,43.87512208300837","125.36163359521584,43.88174193728235","125.3613761031504,43.890835304147345","125.3763964736338,43.890093040519254",,,,,王三珏,东方硕,大华医院,医院,123,12,8,锦业路8号,98元不限量套餐,23,131,230,231
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,48元套餐,654,655,432,433
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,48元套餐,655,656,433,434
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,48元套餐,656,657,434,435
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,48元套餐,657,658,435,436
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,48元套餐,658,659,436,437
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,48元套餐,659,660,437,438
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,互联网套餐,231,232,777,778
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,互联网套餐,232,233,778,779
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,互联网套餐,233,234,779,780
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,互联网套餐,234,235,780,781
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,18元套餐,555,556,322,323
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,18元套餐,556,557,323,324
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,18元套餐,557,558,324,325
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,18元套餐,558,559,325,326
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,18元套餐,559,560,326,327
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,18元套餐,560,561,327,328
sq7,"125.40195577761733,43.851679413770945","125.40195577761733,43.851679413770945","125.41946523806655,43.84400386945093","125.40676229617202,43.828897495082735","125.39131277224624,43.83533674523358","125.38478963992202,43.85143183098383","125.40195577761733,43.851679413770945",,,,,胡一刀,哈哈哈,丈八沟街道办,街道,31231,213,7,锦业路7号,18元套餐,561,562,328,329
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,疑似异网宽带,223,224,654,655
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,疑似异网宽带,224,225,655,656
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,疑似异网宽带,225,226,656,657
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,疑似异网宽带,226,227,657,658
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,疑似异网宽带,227,228,658,659
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,疑似异网宽带,228,229,659,660
sq7,"125.40195577761733,43.851679413770945","125.40195577761733,43.851679413770945","125.41946523806655,43.84400386945093","125.40676229617202,43.828897495082735","125.39131277224624,43.83533674523358","125.38478963992202,43.85143183098383","125.40195577761733,43.851679413770945",,,,,胡一刀,哈哈哈,丈八沟街道办,街道,31231,213,7,锦业路7号,疑似异网宽带,229,230,660,661
sq8,"125.3763964736338,43.890093040519254","125.3763964736338,43.890093040519254","125.388498600709,43.88223685010792","125.37691145776466,43.87512208300837","125.36163359521584,43.88174193728235","125.3613761031504,43.890835304147345","125.3763964736338,43.890093040519254",,,,,王三珏,东方硕,大华医院,医院,123,12,8,锦业路8号,疑似异网宽带,230,231,661,662
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,二卡槽,432,433,231,232
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,二卡槽,433,434,232,233
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,二卡槽,434,435,233,234
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,二卡槽,435,436,234,235
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,二卡槽,436,437,235,236
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,二卡槽,437,438,236,237
sq7,"125.40195577761733,43.851679413770945","125.40195577761733,43.851679413770945","125.41946523806655,43.84400386945093","125.40676229617202,43.828897495082735","125.39131277224624,43.83533674523358","125.38478963992202,43.85143183098383","125.40195577761733,43.851679413770945",,,,,胡一刀,哈哈哈,丈八沟街道办,街道,31231,213,7,锦业路7号,二卡槽,438,439,237,238
sq8,"125.3763964736338,43.890093040519254","125.3763964736338,43.890093040519254","125.388498600709,43.88223685010792","125.37691145776466,43.87512208300837","125.36163359521584,43.88174193728235","125.3613761031504,43.890835304147345","125.3763964736338,43.890093040519254",,,,,王三珏,东方硕,大华医院,医院,123,12,8,锦业路8号,二卡槽,439,440,238,239
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,合约期到期,777,778,555,556
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,合约期到期,778,779,556,557
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,合约期到期,779,780,557,558
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,合约期到期,780,781,558,559
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,合约期到期,781,782,559,560
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,合约期到期,782,783,560,561
sq7,"125.40195577761733,43.851679413770945","125.40195577761733,43.851679413770945","125.41946523806655,43.84400386945093","125.40676229617202,43.828897495082735","125.39131277224624,43.83533674523358","125.38478963992202,43.85143183098383","125.40195577761733,43.851679413770945",,,,,胡一刀,哈哈哈,丈八沟街道办,街道,31231,213,7,锦业路7号,合约期到期,783,784,561,562
