社区ID,社区中心点,社区坐标点1,社区坐标点2,社区坐标点3,社区坐标点4,社区坐标点5,社区坐标点6,社区坐标点7,社区坐标点8,社区坐标点9,社区坐标点10,社区看护人,网络看护人,社区名称,类型,人口,户数,楼栋数,地址,标签名称,工作日-昼,工作日-夜,休息日-昼,休息日-夜
sq8,"125.3763964736338,43.890093040519254","125.3763964736338,43.890093040519254","125.388498600709,43.88223685010792","125.37691145776466,43.87512208300837","125.36163359521584,43.88174193728235","125.3613761031504,43.890835304147345","125.3763964736338,43.890093040519254",,,,,王三珏,东方硕,大华医院,医院,123,12,8,锦业路8号,合约期到期,784,785,562,563
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,数据低饱和,322,323,324,325
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,数据低饱和,323,324,325,326
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,数据低饱和,324,325,326,327
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,数据低饱和,325,326,327,328
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,数据低饱和,326,327,328,329
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,数据低饱和,327,328,329,330
sq7,"125.40195577761733,43.851679413770945","125.40195577761733,43.851679413770945","125.41946523806655,43.84400386945093","125.40676229617202,43.828897495082735","125.39131277224624,43.83533674523358","125.38478963992202,43.85143183098383","125.40195577761733,43.851679413770945",,,,,胡一刀,哈哈哈,丈八沟街道办,街道,31231,213,7,锦业路7号,数据低饱和,328,329,330,331
sq8,"125.3763964736338,43.890093040519254","125.3763964736338,43.890093040519254","125.388498600709,43.88223685010792","125.37691145776466,43.87512208300837","125.36163359521584,43.88174193728235","125.3613761031504,43.890835304147345","125.3763964736338,43.890093040519254",,,,,王三珏,东方硕,大华医院,医院,123,12,8,锦业路8号,数据低饱和,329,330,331,332
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,重度抖音爱好者,326,327,328,329
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,重度抖音爱好者,327,328,329,330
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,重度抖音爱好者,328,329,330,331
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,重度抖音爱好者,329,330,331,332
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,重度抖音爱好者,330,331,332,333
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,重度抖音爱好者,331,332,333,334
sq7,"125.40195577761733,43.851679413770945","125.40195577761733,43.851679413770945","125.41946523806655,43.84400386945093","125.40676229617202,43.828897495082735","125.39131277224624,43.83533674523358","125.38478963992202,43.85143183098383","125.40195577761733,43.851679413770945",,,,,胡一刀,哈哈哈,丈八沟街道办,街道,31231,213,7,锦业路7号,重度抖音爱好者,332,333,334,335
sq8,"125.3763964736338,43.890093040519254","125.3763964736338,43.890093040519254","125.388498600709,43.88223685010792","125.37691145776466,43.87512208300837","125.36163359521584,43.88174193728235","125.3613761031504,43.890835304147345","125.3763964736338,43.890093040519254",,,,,王三珏,东方硕,大华医院,医院,123,12,8,锦业路8号,重度抖音爱好者,333,334,335,336
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,重度王者荣耀,330,331,332,333
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,重度王者荣耀,331,332,333,334
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,重度王者荣耀,332,333,334,335
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,重度王者荣耀,333,334,335,336
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,重度王者荣耀,334,335,336,337
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,重度王者荣耀,335,336,337,338
sq7,"125.40195577761733,43.851679413770945","125.40195577761733,43.851679413770945","125.41946523806655,43.84400386945093","125.40676229617202,43.828897495082735","125.39131277224624,43.83533674523358","125.38478963992202,43.85143183098383","125.40195577761733,43.851679413770945",,,,,胡一刀,哈哈哈,丈八沟街道办,街道,31231,213,7,锦业路7号,重度王者荣耀,336,337,338,339
sq8,"125.3763964736338,43.890093040519254","125.3763964736338,43.890093040519254","125.388498600709,43.88223685010792","125.37691145776466,43.87512208300837","125.36163359521584,43.88174193728235","125.3613761031504,43.890835304147345","125.3763964736338,43.890093040519254",,,,,王三珏,东方硕,大华医院,医院,123,12,8,锦业路8号,重度王者荣耀,337,338,339,340
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,爱奇艺粉丝,334,335,336,337
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,爱奇艺粉丝,335,336,337,338
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,爱奇艺粉丝,336,337,338,339
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,爱奇艺粉丝,337,338,339,340
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,爱奇艺粉丝,338,339,340,341
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,爱奇艺粉丝,339,340,341,342
sq7,"125.40195577761733,43.851679413770945","125.40195577761733,43.851679413770945","125.41946523806655,43.84400386945093","125.40676229617202,43.828897495082735","125.39131277224624,43.83533674523358","125.38478963992202,43.85143183098383","125.40195577761733,43.851679413770945",,,,,胡一刀,哈哈哈,丈八沟街道办,街道,31231,213,7,锦业路7号,爱奇艺粉丝,340,341,342,343
sq8,"125.3763964736338,43.890093040519254","125.3763964736338,43.890093040519254","125.388498600709,43.88223685010792","125.37691145776466,43.87512208300837","125.36163359521584,43.88174193728235","125.3613761031504,43.890835304147345","125.3763964736338,43.890093040519254",,,,,王三珏,东方硕,大华医院,医院,123,12,8,锦业路8号,爱奇艺粉丝,341,342,343,344
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,DL RTT,338,339,340,341
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,DL RTT,339,340,341,342
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,DL RTT,340,341,342,343
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,DL RTT,341,342,343,344
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,DL RTT,342,343,344,345
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,DL RTT,343,344,345,346
sq7,"125.40195577761733,43.851679413770945","125.40195577761733,43.851679413770945","125.41946523806655,43.84400386945093","125.40676229617202,43.828897495082735","125.39131277224624,43.83533674523358","125.38478963992202,43.85143183098383","125.40195577761733,43.851679413770945",,,,,胡一刀,哈哈哈,丈八沟街道办,街道,31231,213,7,锦业路7号,DL RTT,344,345,346,347
sq8,"125.3763964736338,43.890093040519254","125.3763964736338,43.890093040519254","125.388498600709,43.88223685010792","125.37691145776466,43.87512208300837","125.36163359521584,43.88174193728235","125.3613761031504,43.890835304147345","125.3763964736338,43.890093040519254",,,,,王三珏,东方硕,大华医院,医院,123,12,8,锦业路8号,DL RTT,345,346,347,348
sq1,"125.26562467170197,43.91598066100081","125.26562467170197,43.91598066100081","125.26528134894806,43.909550118803985","125.27729764533478,43.906334587140364","125.28656735969025,43.90781870026264","125.28656735969025,43.9142494295322","125.26562467170197,43.91598066100081",,,,,罗辑,庄颜,春天大道,居民区,2270,70,7,锦业路1号,PRB利用率,342,343,344,345
sq2,"125.261848121409,43.82440368769839","125.261848121409,43.82440368769839","125.26631131720978,43.81176988190249","125.29515042853791,43.81028337606614","125.29309049201447,43.81920185610863","125.2779842908426,43.827128275742886","125.261848121409,43.82440368769839",,,,,艾AA,云天明,春天一中,学校,1205,5,5,锦业路2号,PRB利用率,343,344,345,346
sq3,"125.4427792127176,43.905839874543354","125.4427792127176,43.905839874543354","125.43522611213166,43.89742913134358","125.46269193244416,43.89594475920091","125.46234860969025,43.877139509303525","125.44209256720978,43.87812940730613","125.4427792127176,43.905839874543354",,,,,关一凡,程心,万达,商业中心,955,1,2,锦业路3号,PRB利用率,344,345,346,347
sq4,"125.32261624885041,43.900150384167496","125.32261624885041,43.900150384167496","125.32261624885041,43.89396553878443","125.33394589972931,43.89124400330172","125.34184232306916,43.896934344740764","125.33188596320588,43.90212939901329","125.32261624885041,43.900150384167496",,,,,储岩,亨特,绿地家园,居民区,3988,110,10,锦业路4号,PRB利用率,345,346,347,348
sq5,"125.305793433909,43.846196910002384","125.305793433909,43.846196910002384","125.30064359260041,43.84124460381498","125.30510678840119,43.83653953214702","125.32021298957306,43.83653953214702","125.31609311652619,43.84520648165378","125.305793433909,43.846196910002384",,,,,维德,猫,锦业时代,商业区,3854,50,2,锦业路5号,PRB利用率,346,347,348,349
sq6,"125.27077451301056,43.850653634070326","125.27077451301056,43.850653634070326","125.27317777228791,43.844958871997186","125.2779842908426,43.83975883179233","125.28588071418244,43.842730338837804","125.27970090461213,43.84892050316912","125.27077451301056,43.850653634070326",,,,,章北海,东方,424厂,工厂,2220,15,6,锦业路6号,PRB利用率,347,348,349,350
sq7,"125.40195577761733,43.851679413770945","125.40195577761733,43.851679413770945","125.41946523806655,43.84400386945093","125.40676229617202,43.828897495082735","125.39131277224624,43.83533674523358","125.38478963992202,43.85143183098383","125.40195577761733,43.851679413770945",,,,,胡一刀,哈哈哈,丈八沟街道办,街道,31231,213,7,锦业路7号,PRB利用率,348,349,350,351
sq8,"125.3763964736338,43.890093040519254","125.3763964736338,43.890093040519254","125.388498600709,43.88223685010792","125.37691145776466,43.87512208300837","125.36163359521584,43.88174193728235","125.3613761031504,43.890835304147345","125.3763964736338,43.890093040519254",,,,,王三珏,东方硕,大华医院,医院,123,12,8,锦业路8号,PRB利用率,349,350,351,352
